abstract,label
"The effects of carbon microstructure and loading on the performance of Li/air batteries were investigated. We found that the capacities of Li/air batteries were related to both the specific capacity per unit weight of the carbon source  and the carbon locating per unit area . Therefore, the product of these two parameters [i.e., the area-specific capacity ] was introduced to optimize the performance of the air electrode. At the fixed electrolyte amount , the best area-specific capacity of  was obtained at a carbon loading of . Further increase or decrease in the carbon loading led to a reduced area-specific capacity. The capacities of air electrodes increased with increasing mesopore volumes of the carbon sources. The uniformity of the pore sizes also played an important role in determining the electrochemical performances of the Li/air batteries. At fixed carbon loading and discharge rates, the capacity increased significantly with increasing electrolyte amounts. This phenomenon was explained by the formation of extra triphase regions in the air electrodes. After optimizing the electrode and electrolyte parameters, a high capacity of  carbon was obtained for Li/air batteries operated in ambient oxygen pressure (0.21 atm).",3
"Interfacial stability is considered as a priority in high-energy lithium metal batteries (LMBs), stemming from the extremely low electrochemical potential of Li metal and its intrinsic high reactivity. The naturally grown solid-electrolyte interphase (SEI) containing organic compositions (e.g., R1OCOOR2, ROLi) and inorganic compositions (e.g., Li2CO3, Li3N) is thermodynamically unstable against Li metal. Herein, we created a highly stable organic interphase (HSOI) with a well-tuned LUMO energy to improve the antireduction ability of SEI components and enhance the long-term cyclability of LMBs. Employing trifluoromethyl functional groups (-CF3) in the molecule structure of a SEI can significantly tune the orbital energies and the HOMO-LUMO gap due to the strong electron-withdrawing property of -CF3 functional groups. With the protection of HSOI, cells can cycle more than 1300 h, which is 5-fold improvement in cell lifetime, demonstrating the vital role of the HSOI layer on the stability of LMBs.",8
"Cycling lithiated metal oxides to high potential (>4.5 V vs Li) is of significant interest for the next generation of lithium ion batteries as this significantly increases the capacity and energy of cells. However, cells cycled to high potential suffer from rapid capacity fade due to a combination of thickening of the anode solid electrolyte interphase (SEI) and impedance growth on the cathode. While transition metal catalysed degradation of the anode SEI has been widely proposed as a primary source of capacity loss, a related acid induced degradation of the anode SEI is proposed. A systematic investigation of LiNi0.5Co0.2Mn0.3O2, and LiNi0.8Co0.1Mn0.1O2 cathodes cycled to 4.2 and 4.6 V has been conducted and the oxidative generation of the strong acid difluorophosphoric acid (F2PO2H) has been quantified by solution Nuclear Magnetic Resonance (NMR) spectroscopy. Ex-situ surface analysis of the electrodes with X-ray Photo Electron spectroscopy (XPS) suggests that the generation of F2PO2H correlates with a thickening of the anode SEI and an increase in the fluorophosphate content of the SEI. Changes to the LiNi0.8Co0.1Mn0.1O2 surface for cells cycled to 4.6 V are also consistent with the generation of acidic species. There is good correlation between the concentration F2PO2H, anode SEI degradation and the capacity loss of the cells.",0
"As part of studies for finding active materials in the redox-flow battery system using ionic liquids (ILs) as electrolyte, we have synthesized [Fe(L)(x)][Tf2N](2) (L = 2,2'-bipyridine (bpy), 1,10-phenanthroline (phen), or 2,2':6',2 ''-terpyridine (terpy); Tf2N = bis(trifluoromethylsulfonyl)imide, x = 3 for bpy and phen; 2 for terpy), and examined their electrochemical properties in [BMI][Tf2N] (BMI = 1-butyl-3-nnethylimidazolium). From H-1-NMR and UV-vis absorption spectra, it was confirmed that three Fe(II) species exist as [Fe(L)(x)](2+) in [BMI][Tf2N] solution. Cyclic voltammogranns (CVs) and chronoamperograms (CAs) of the [Fe(L)(x)](2+) species in [BMI][Tf2N] solution were measured at 25 degrees C. In the CVs, two peaks corresponding to the redox couples of Fe(II)/Fe(III) were observed around 1V vs. Ag/AgCl, and their redox reactions were found to be quasi-reversible. The diffusion coefficients of [Fe(L)(x)](2+) were estimated to be (3-9) x 10(-7) cm(2) s(-1) by chronoamperometry. The standard rate constants for the redox reactions were estimated to be (2-6) x 10(-3) cm s(-1) at 25 degrees C. Furthermore, the present Fe(II)/Fe(III) redox systems were found to be cycled stably. From these results, the [Fe(L)(x)](2+) species are expected to be used as cathode active materials for the redox-flow batteries using [BMI][Tf2N] as the electrolyte. (C) The Electrochemical Society of Japan, All rights reserved.",1
"A synthesis route for preparing highly conductive solid organic-inorganic hybrid electrolytes has been developed by using cyanuric chloride as the coupling core to react with diamino-terminated poly(oxyalkylene) triblock copolymers, followed by cross-linking with an epoxy alkoxysilane 3-glycidyloxypropyl trimethoxysilane via a sol-gel process The present hybrid electrolyte with a [O]/[Li] I ratio of 32 was found to be the most conductive, reaching a maximum lithium ion conductivity of 6.8 x 10(-5) Scm(-1) at 30 degrees C The Li-ion mobility was determined from Li-7 static NMR line width measurements and correlated with their ionic conductivities. The onset of Li-7 line narrowing was closely related to the T-g of the hybrid electrolytes as measured by DSC experiments Thus, the motions of the lithium cations are strongly coupled with the segmental motion of the polymer chains, which is in line with the Vogel-Tamman-Fulcher behavior as observed in ionic conductivity (C) 2010 Elsevier Ltd. All rights reserved.",0
"Hyperbranched poly(glycidol) (HPG) containing hydroxyl groups is firstly synthesized via anionic polymerization, and then reacts with thionyl chloride to form chlorine end-terminated hyperbranched poly(glycidol) (HPG-Cl). Different ionic liquid polymers are synthesized from the reaction of HPG-Cl with N-methylimidazole and then anion exchange with hexafluorophosphoric acid and sodium tetrafluoroborate. The structure and properties of the obtained ionic liquid polymers are characterized by H-1 NMR, ATR-FTIR, DSC and TGA, respectively. Ionic conductivity of the polymer electrolytes composed of ionic liquid polymer and lithium bis(trifluoromethanesulfonimide) (LITFSI) is investigated by electrochemical impedance spectroscopy. The results show that the ionic conductivity of the prepared ionic liquid polymer electrolyte can reach 3.5 x 10(-4) Scm(-1) at 30 A degrees C when the weight ratio of ionic liquid polymer ([HPG-MeIm]BF4) to lithium salt (LiTFSI) is 4.5.",9
"Lithium-sulfur batteries are among the most promising nextgeneration battery systems due to the high capacity of sulfur as cathodic material. Beyond its interesting intrinsic properties, sulfur possesses a very low conductivity and complex electrochemistry, which involves the high solubility of the lithium sulfides in the electrolyte. These two characteristics are at the core of a series of limitations of its performance as active cathode material, which leads to batteries with low cyclability. Recently, inverse vulcanized sulfur was shown to retain capacity far better than elemental sulfur, leading to batteries with excellent cyclability. Nevertheless, the diene co-monomers used so far in the inverse vulcanization process are man-made molecules. Herein, a tentative work on exploring inverse vulcaniza-tion using two naturally available monomers, diallyl sulfide and myrcene, is presented. The inverse vulcanization of sulfur was successfully completed, and the resulting polymers were characterized by FTIR, NMR spectroscopy, differential scanning calorimetry, and thermogravimetric analysis. Afterwards these polymers were tested as cathodic materials in lithium-sulfur cells. The sulfur-natural dienes materials exhibited high capacity at different C rates and high lifetime over 200 cycles with very high capacity retention at a moderate C rate of C/5. Altogether, these materials made from inexpensive and abundant chemicals are an excellent option as sustainable materials for electrochemical energy storage.",0
"Nuclear Magnetic Resonance spectroscopy (NMR) and complex impedance spectroscopy have been used to study the polymer gel electrolytes formed by amylopectin rich starch, plasticized with glycerol and containing lithium perchlorate. The use of plasticizer enhances the conductivity, which reaches similar to 10(-4) S/cm at room temperature. The Li-7 NMR decoupling experiments performed at 183 K show that 80% of the sub-T-g linewidth is attributable to the heteronuclear Li-H interaction, suggesting a weaker Li - polymer interaction in the plasticized electrolyte when compared with the unplasticized ones. The Li-7 NMR results exhibit the qualitative features associated with the lithium mobility in the polymer gel electrolyte, namely the presence of a well defined Li-7 spin-lattice relaxation maxima at 340 K.",0
"A whole series of lithium borophosphate glasses of composition 45 Li2O-55 [x B2O3-(1 - x) P2O5], 0 <= 1x <= 1 was prepared for the first time, thanks to the use of the twin roller quenching technique. As their more popular sodium counterparts, these glasses exhibit a mixed glass former effect with non linear increase in both glass transition temperature and conductivity when phosphorous is replaced by boron. A fairly good conductivity (similar to 2 x 10(-7) Omega(-1).cm(-1) at room temperature) coupled to a high T-g (similar to 450 degrees C) makes these glasses interesting as solid electrolytes for the development of thin-film batteries. A structural investigation was carried out both by Raman spectroscopy and for the first time, by B-11 NMR at high field, 18.8 T. Raman spectra showed the signature of many types of vibrations indicating the presence of a large variety of entities in the glasses. B-11 NMR at 18.8 T helped in separating the resonances of three-coordinated and four-coordinated boron species and counting them by direct integration. On the whole it was shown that while the T-g evolution relied upon the presence of mixed borophosphate entities, the conductivity was directly linked to the presence of BO4 entities alone irrespective of their specific environment. (C) 2011 Elsevier B.V. All rights reserved.",2
"A novel ionic liquid (IL) (1-octyl-3-propyl-1H-imidazole-3-ium iodide) was synthesized and used as a corrosion inhibitor for battery electrodes in 34% H2SO4 solution because IL compounds have high ionic conductivity and superior adsorption capabilities. Fourier transform infrared spectroscopy (FT-IR) and proton nuclear magnetic resonance (1H NMR) spectroscopy were used to identify the novel IL. According to electrochemical measure-ments, IL molecules adsorption on the electrode surface of the battery increased the charge transfer resistance, which in turn enhanced the inhibition efficiency, which reached 91.64% in the electrochemical impedance spectroscopy (EIS) and 87.70% in the electrochemical frequency modulation (EFM) technique. The adsorption of IL molecules on the surface of the battery electrode is demonstrated by several surface morphology in-vestigations. The battery tests were performed using Pb-Ca alloy as the working electrode. Results of the tests indicated an increase in both electrical capacity efficiencies from 84.66 to 97% and reserve capacity from 50 to 60 min. Thus, this IL compound can improve the battery performance if used as an electrolyte additive.",0
