abstract,label
"A methyl pivalate (MP) based electrolyte was for the first time reported for non-aqueous lithium-oxygen (Li-O-2) batteries. This new electrolyte in both superoxide radical solution and a real Li-O-2 battery environment showed good chemical stability against superoxide radicals, which was confirmed by H-1 NMR and C-13 NMR measurements.",3
"The application of Electrochemical Impedance Spectroscopy (EIS) in conjunction with Nuclear Magnetic Resonance (NMR) is demonstrated as a powerful analytical combination for screening of electrolyte candidates for Lithium-Air (Li-Air) battery systems. Both analytical techniques are employed to examine electrochemical kinetics at the electrolyte-electrodes interfaces, decomposition of the electrolyte candidates, and Li-Air battery cycling performance. Correlations of the changes in the EIS spectra with variations in the electrolytes chemical condition and degree of degradation via NMR are presented, leading to a better understanding of the electrochemical kinetics at the air cathode, identification of design principles for stable electrolytes, and more accurate insights in their decomposition patterns. The approach is used to develop advanced battery components such as stable electrolytes and cathodes with well-structured architecture to provide substantially higher specific energy and longer battery cycle life. (c) 2020 Published by Elsevier Ltd.",3
"A novel electrolyte with chloromethyl pivalate (CP) used as solvent was first reported for non-aqueous lithium-oxygen (Li-O-2) batteries. Since there are no alpha-H atoms in the structure of CP, the CP based electrolyte in both superoxide radical solution and real Li-O-2 battery environment showed good chemical stability against superoxide radicals, which was confirmed by H-1 NMR and C-13 NMR measurements. Without a catalyst in the cathode of Li-O-2 batteries, the batteries showed high specific capacity and cycling stability. (C) 2017 Chinese Chemical Society and Institute of Materia Medica, Chinese Academy of Medical Sciences. Published by Elsevier B.V. All rights reserved.",0
"The demand for high-performance, affordable, and safe energy storage solutions is growing, driven in part by the incorporation of fluctuating electricity sources like wind turbines and solar cells in the electric grid. Batteries offer such a storage solution in both distributed systems such as households and large-scale industrial systems. The quest for more resource-efficient alternatives to lithium-ion batteries is on its way to meet the increasing demand. Zinc batteries are particularly ecologically friendly due to their use of abundant raw materials and their facile recyclability. High energy densities add to the benefits of this technology. These advantages stem from the use of zinc metal electrodes in combination with effective and affordable aqueous electrolytes. Zinc battery types are distinguished by their cathode materials and electrolytic charge carriers. Zinc-air batteries work with oxygen from air and have the potential to offer the highest energy densities. Zinc-flow batteries could enable large scale battery storage. Zinc-ion batteries are a more recent development which promise large power densities and long cycle lives. In this review, these technologies are discussed in detail. We summarize the development status of each technology, criticize typical deficiencies of current studies, discuss technological challenges, and highlight promising future research directions.",12
"Aqueous rechargeable zinc-based batteries have sparked a lot of enthusiasm in the energy storage field recently due to their inherent safety, low cost, and environmental friendliness. Although remarkable progress has been made in the exploration of performance so far, there are still many challenges such as low working voltage and dissolution of electrode materials at the material and system level. Herein, the central tenet is to establish a systematic summary for the construction and mechanism of different aqueous zinc-based batteries. Details for three major zinc-based battery systems, including alkaline rechargeable Zn-based batteries (ARZBs), aqueous Zn ion batteries (AZIBs), and dual-ion hybrid Zn batteries (DHZBs) are given. First, the electrode materials and energy storage mechanism of the three types of zinc-based batteries are discussed to provide universal guidance for these batteries. Then, the electrode behavior of zinc anodes and strategies to deal with problems such as dendrite and passivation are recommended. Finally, some challenge-oriented solutions are provided to facilitate the next development of zinc-based batteries. Combining the characteristics of zinc-based batteries with good use of concepts and ideas from other disciplines will surely pave the way for its commercialization.",9
"Zinc–air is a century-old battery technology but has attracted revived interest recently. With larger storage capacity at a fraction of the cost compared to lithium-ion, zinc–air batteries clearly represent one of the most viable future options to powering electric vehicles. However, some technical problems associated with them have yet to be resolved. In this review, we present the fundamentals, challenges and latest exciting advances related to zinc–air research. Detailed discussion will be organized around the individual components of the system – from zinc electrodes, electrolytes, and separators to air electrodes and oxygen electrocatalysts in sequential order for both primary and electrically/mechanically rechargeable types. The detrimental effect of CO2 on battery performance is also emphasized, and possible solutions summarized. Finally, other metal–air batteries are briefly overviewed and compared in favor of zinc–air.",16
"The dendritic issue in aqueous zinc-ion batteries (ZBs) using neutral/mild electrolytes has remained an intensive controversy for a long time: some researchers assert that dendrites severely exist while others claim great cycling stability without any protection. This issue is clarified by investigating charge/discharge-condition-dependent formation of Zn dendrites. Lifespan degradation (120 to 1.2 h) and voltage hysteresis deterioration (134 to 380 mV) are observed with increased current densities due to the formation of Zn dendrites (edge size: 0.69–4.37 µm). In addition, the capacity is also found to remarkably affect the appearance of the dendrites as well. Therefore, at small current densities or loading mass, Zn dendrites might not be an issue, while the large conditions may rapidly ruin batteries. Based on this discovery, a first-in-class electrohealing methodology is developed to eliminate already-formed dendrites, generating extremely prolonged lifespans by 410% at 7.5 mA cm–2 and 516% at 10 mA cm–2. Morphological analysis reveals that vertically aligned Zn dendrites with sharp tips gradually become passivated and finally generate a smooth surface. This developed electrohealing strategy may promote research on metal dendrites in various batteries evolving from passive prevention to active elimination, rescuing in-service batteries in situ to achieve elongated lifetime.",12
"Metal–air batteries are becoming of particular interest, from both fundamental and industrial viewpoints, for their high specific energy density compared to other energy storage devices, in particular the Li-ion systems. Among metal–air batteries, the zinc–air option represents a safe, environmentally friendly and potentially cheap and simple way to store and deliver electrical energy for both portable and stationary devices as well as for electric vehicles. Zinc–air batteries can be classified into primary (including also the mechanically rechargeable), electrically rechargeable (secondary), and fuel cells. Research on primary zinc–air batteries is well consolidated since many years. On the contrary, research on the electrically rechargeable ones still requires further efforts to overcome materials science and electrochemical issues related to charge and discharge processes. In addition, zinc–air fuel cells are also of great potential interest for smart grid energy storage and production. This review aims to report on the latest progresses and state-of-the-art of primary, secondary and mechanically rechargeable zinc–air batteries, and zinc–air fuel cells. In particular, this review focuses on the critical aspects of materials science, engineering, electrochemistry and mathematical modeling related to all zinc–air systems.",16
"This article reviews the current status of the research and development programs, in the USA, on rechargeable zinc batteries. The review is confined to systems that are now under development. These are the zinc-bromine, zinc-chlorine, zinc-ferricyanide and zinc-nickel oxide systems. Most of the electrochemical problems with these batteries are due to the zinc electrode. Recent advances in zinc batteries include the use of additives and modified charging methods. Recent work by the author and others on the mechanism of the zinc electrodes in acid electrolytes is discussed and the mechanistic aspects of the effect of additives and charging methods is also reviewed.",12
"Zinc-ion batteries built on water-based electrolytes featuring compelling price-points, competitive performance, and enhanced safety represent advanced energy storage chemistry as a promising alternative to current lithium-ion battery systems. Attempts to develop rechargeable aqueous zinc-ion batteries (ZIBs) can be traced to as early as the 1980s; however, since 2015, the research activity in this field has surged throughout the world. Despite the achievements made in exploring electrode materials so far, significant challenges remain at the material level and even on the whole aqueous ZIBs system, leading to the failure of ZIBs to meet commercial requirements. This review aims to discuss how to pave the way for developing aqueous ZIBs. The current research efforts related to aqueous ZIBs electrode materials and electrolytes are summarized, including an analysis of the problems encountered in both cathode/anode materials and electrolyte optimization. Some concerns and feasible solutions for achieving practical aqueous ZIBs are discussed in detail. We would like to point out that merely improving the electrode materials is not enough; synergistic optimization strategies toward the whole battery system are also deeply needed. Finally, some perspectives are provided on the subsequent optimization design for further research efforts in the aqueous ZIB field.",9
